name,dose,tier_num,tier_desc,cost_30,cost_90,management,year
BETAMETHASONE,DIPROPIONATE 0.64MG/G / 45 G TUBE,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETAMETHASONE,DIPROPIONATE 0.64MG/ML 60 ML IN 1 BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETAMETHASONE,DP 0.05% OINTMENT,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETAMETHASONE,DP AUG 0.05% GEL,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETAMETHASONE,VALERATE 0.1% LOTION,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETAMETHASONE,VALERATE CREAM,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETAMETHASONE,VALERATE OINTMENT USP,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETASERON,KIT 0.3MG/VIAL 14 TRAY BOX PKGCOM,5,Specialty,25%,N/A,P Q:15/30Days,2013-01-01T00:00:00Z
BETAXOLOL,10MG/1,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETAXOLOL,20MG/1 100 FILM COATED TABLETS IN BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BETAXOLOL,HCL 0.5% EYE DROP,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETHANECHOL,10 MG TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETHANECHOL,CHLORIDE 25MG TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETHANECHOL,CHLORIDE 50MG TABLET (100 CT),3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETHANECHOL,CHLORIDE 5MG TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BETIMOL,0.5% EYE DROPS,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BETIMOL,SOLUTION 2.5MG 5 ML BOT,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BICALUTAMIDE,TABLETS 50MG 100 BOT,2,Non-Preferred Generics,$3.00 ,$0.00 ,Q:30/30Days,2013-01-01T00:00:00Z
BICNU,1 KIT IN 1 CARTON,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
BIDIL,TABLET,3,Preferred Brand,20%,20%,Q:180/30Days,2013-01-01T00:00:00Z
BILTRICIDE,600MG TABLET,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BISOPROLOL,FUMARATE 10MG TABLET (100 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BISOPROLOL,FUMARATE 5MG TABLET (100 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BISOPROLOL,FUMARATE-HCTZ TABLET 10-6.25MG (500 CT),1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BISOPROLOL,FUMARATE-HCTZ TABLET 2.5-6.25MG (100 CT),1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BISOPROLOL,FUMARATE-HCTZ TABLET 5-6.25MG (100 CT),1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BLEOMYCIN,SULFATE 30UNITS VIA,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
BLEPHAMIDE,0.2% EYE DROPS,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BLEPHAMIDE,10-0.2% EYE OINT,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BOOSTRIX,8; 2.5; 8; 5; 2.5UG/0.5ML; UG/0.5ML; UG/0.5ML; [IU]/0.5ML; [IU]/0.5ML,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BOOSTRIX,8; 2.5; 8; 5; 2.5UG/0.5ML; UG/0.5ML; UG/0.5ML; [IU]/0.5ML; [IU]/0.5ML,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BOSULIF,100 MG TABLET,5,Specialty,25%,N/A,P Q:120/30Days,2013-01-01T00:00:00Z
BOSULIF,500 MG TABLET,5,Specialty,25%,N/A,P Q:30/30Days,2013-01-01T00:00:00Z
BRILINTA,90MG/1 60 TABLET BOTTLE,3,Preferred Brand,20%,20%,Q:60/30Days,2013-01-01T00:00:00Z
BRIMONIDINE,TARTRATE 1.5MG/ML,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BRIMONIDINE,TARTRATE OPHTHALMIC SOLUTION 0.2% 10ML BOTPL,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BROMOCRIPTINE,MESYLATE 2.5MG/1 24 BOTTLE IN 1 CARTON / 100 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BROMOCRIPTINE,MESYLATE 5MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
BROVANA,15MCG/2ML VIAL NEBULIZER,4,Non-Preferred Brand,35%,35%,P Q:124/30Days,2013-01-01T00:00:00Z
BUDEPRION,SR 100MG TABLET SA,3,Preferred Brand,20%,20%,Q:120/30Days,2013-01-01T00:00:00Z
BUDEPRION,SR 150MG TABLET SA,3,Preferred Brand,20%,20%,Q:90/30Days,2013-01-01T00:00:00Z
BUDESONIDE,0.25 MG/2 ML SUSP,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
BUDESONIDE,0.5 MG/2 ML SUSP,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
BUDESONIDE,3MG 100 CAPSULE BOTTLE,5,Specialty,25%,N/A,None,2013-01-01T00:00:00Z
BUMETANIDE,0.25MG/ML VIAL,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUMETANIDE,0.5MG TABLET USP (500 CT),1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUMETANIDE,1MG TABLET USP (500 CT),1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUMETANIDE,2MG TABLET USP (500 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUPHENYL,500MG TABLET,5,Specialty,25%,N/A,None,2013-01-01T00:00:00Z
BUPHENYL,POWDER,5,Specialty,25%,N/A,None,2013-01-01T00:00:00Z
BUPRENORPHINE,0.3MG/ML SYRN,4,Non-Preferred Brand,35%,35%,P Q:240/30Days,2013-01-01T00:00:00Z
BUPRENORPHINE,HCL 2MG/1 30 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P Q:90/30Days,2013-01-01T00:00:00Z
BUPRENORPHINE,HCL 8MG/1 30 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P Q:90/30Days,2013-01-01T00:00:00Z
BUPROBAN,ER TABLET,3,Preferred Brand,20%,20%,Q:90/30Days,2013-01-01T00:00:00Z
BUPROPION,HCL 75MG TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
BUPROPION,HCL SR 100 MG TABLET,3,Preferred Brand,20%,20%,Q:120/30Days,2013-01-01T00:00:00Z
BUPROPION,HCL SR 200MG TABLET SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013-01-01T00:00:00Z
BUPROPION,HCL TABLET 100MG,3,Preferred Brand,20%,20%,Q:180/30Days,2013-01-01T00:00:00Z
BUPROPION,HCL XL 150 MG TABLET,3,Preferred Brand,20%,20%,Q:90/30Days,2013-01-01T00:00:00Z
BUPROPION,"HYDROCHLORIDE 150MG/1 100 TABLET, EXTENDED RELEASE IN 1 BOTTLE",3,Preferred Brand,20%,20%,Q:90/30Days,2013-01-01T00:00:00Z
BUPROPION,"HYDROCHLORIDE XL 300MG/1 500 TABLET, FILM COATED, EXTENDED RELEASE IN 1 BOTTLE",3,Preferred Brand,20%,20%,Q:90/30Days,2013-01-01T00:00:00Z
BUSPIRONE,HCL 15MG TABLET (180 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUSPIRONE,HCL 30MG TABLET (60 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUSPIRONE,HCL 5 MG TABLET,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUSPIRONE,HCL 7.5MG TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUSPIRONE,HYDROCHLORIDE TABLETS,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
BUSULFEX,6MG/ML,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
BUTISOL,SODIUM 30MG/1 100 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
BUTISOL,SODIUM 30MG/5ML 473 ML IN 1 BOTTLE,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
BUTISOL,SODIUM 50MG/1 100 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
BUTORPHANOL,10MG/ML SPRAY,3,Preferred Brand,20%,20%,Q:5/28Days,2013-01-01T00:00:00Z
BUTORPHANOL,TARTRATE 1MG/ML 10 VIAL IN 1 BOX / 1 ML IN 1 VIAL,3,Preferred Brand,20%,20%,Q:960/30Days,2013-01-01T00:00:00Z
BUTORPHANOL,TARTRATE 2MG/ML 10 VIAL IN 1 BOX / 2 ML IN 1 VIAL,3,Preferred Brand,20%,20%,Q:480/30Days,2013-01-01T00:00:00Z
BYDUREON,2 MG VIAL,4,Non-Preferred Brand,35%,35%,S Q:4/28Days,2013-01-01T00:00:00Z
BYETTA,10UG/0.04ML,4,Non-Preferred Brand,35%,35%,S Q:3/30Days,2013-01-01T00:00:00Z
BYETTA,5MCG/0.02ML PEN INJ,4,Non-Preferred Brand,35%,35%,S Q:3/30Days,2013-01-01T00:00:00Z
CABERGOLINE,0.5 MG TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,Q:16/28Days,2013-01-01T00:00:00Z
CALCIPOTRIENE,50UG/G 60 G IN 1 CARTON,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CALCIPOTRIENE,TOPICAL SOLUTION,3,Preferred Brand,20%,20%,Q:60/30Days,2013-01-01T00:00:00Z
CALCITONIN,SALMON NASAL SPRAY 200IU/SPRY,3,Preferred Brand,20%,20%,P Q:4/28Days,2013-01-01T00:00:00Z
CALCITRIOL,0.25MCG CAPSULE,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
CALCITRIOL,0.5MCG CAPSULE,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
CALCITRIOL,1MCG/ML SOLUTION ORAL,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
CALCITRIOL,INJ 1MCG/ML,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
CALCIUM,ACETATE CAPSULE 667 MG,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CAMILA,0.35MG TABLET,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CAMPATH,INJECTION 30 MG/ML,5,Specialty,25%,N/A,P Q:12/28Days,2013-01-01T00:00:00Z
CAMPRAL,"333MG/1 180 TABLET, DELAYED RELEASE IN 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CANASA,RECTAL SUPPOSITORIES 1000MG 30 BOX,3,Preferred Brand,20%,20%,Q:30/30Days,2013-01-01T00:00:00Z
CANCIDAS,IV 50MG VIAL,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CANCIDAS,IV 70MG VIAL,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CAPASTAT,"SULFATE 1G/1 1 INJECTION, POWDER, FOR SOLUTION IN 1 CARTON",4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CAPITAL,W/CODEINE ORAL SUSP,4,Non-Preferred Brand,35%,35%,Q:5010/30Days,2013-01-01T00:00:00Z
CAPRELSA,"100MG/1 30 TABLET BOTTLE, PLASTIC",5,Specialty,25%,N/A,P Q:60/30Days,2013-01-01T00:00:00Z
CAPRELSA,"300MG/1 30 TABLET BOTTLE, PLASTIC",5,Specialty,25%,N/A,P Q:30/30Days,2013-01-01T00:00:00Z
CAPTOPRIL,100MG TABLET,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,12.5MG TABLET,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,25MG TABLET,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,50MG TABLET,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,AND HYDROCHLOROTHIAZIDE 25; 15MG 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,AND HYDROCHLOROTHIAZIDE 25; 25MG 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,AND HYDROCHLOROTHIAZIDE 50; 15MG 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAPTOPRIL,AND HYDROCHLOROTHIAZIDE 50; 25MG 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARAC,CRE 0.5%,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBAGLU,200MG/1 5 TABLET BOTTLE,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CARBAMAZEPINE,100 MG/5 ML SUSP,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,"100MG, CHEWABLE 100 TABLET BOTTLE",2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,"100MG/1 120 CAPSULE, EXTENDED RELEASE IN 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,"200MG/1 120 CAPSULE, EXTENDED RELEASE IN 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,"300MG/1 120 CAPSULE, EXTENDED RELEASE IN 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,TABLET USP 200MG (1000 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,XR 200 MG TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBAMAZEPINE,XR 400 MG TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBATROL,"100MG/1 120 CAPSULE, EXTENDED RELEASE IN 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBATROL,200MG CAPSULE SA,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBATROL,300MG CAPSULE SA,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CARBIDOPA,AND LEVEDOPA ORALLY DISINTEGRATING TABLETS 10;100MG;MG 100 BOT,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CARBIDOPA,AND LEVODOPA ORALLY DISINTEGRATING TABLETS 25;100MG;MG 100 BOT,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CARBIDOPA,AND LEVODOPA ORALLY DISINTEGRATING TABLETS 25;250MG;MG 100 BOT,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CARBIDOPA-LEVODOPA,ER 25-100 TAB,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBIDOPA-LEVODOPA,ER 50-200 TAB,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARBIDOPA/LEVO,10/100 TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CARBIDOPA/LEVO,25/100 TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CARBIDOPA/LEVO,25/250 TABLET,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CARBOPLATIN,10MG/ML,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
CARIMUNE,NF 3GM VIAL,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CARISOPRODOL,AND ASPIRIN TABLETS USP 325;200MG;MG 100 BOTPL,3,Preferred Brand,20%,20%,P,2013-01-01T00:00:00Z
CARISOPRODOL,ASPIRIN AND CODEINE PHOSPHATE TABLETS USP 325;200;16MG;MG;MG 100 BOTPL,3,Preferred Brand,20%,20%,P Q:360/30Days,2013-01-01T00:00:00Z
CARISOPRODOL,TABLET USP 350MG (100 CT),2,Non-Preferred Generics,$3.00 ,$0.00 ,P,2013-01-01T00:00:00Z
CARNITOR,1GM/5ML VIAL,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
CARTEOLOL,HCL OPHTHALMIC SOLUTION USP 1% 15ML BOT,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARTIA,XT 120MG CAPSULE SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013-01-01T00:00:00Z
CARTIA,XT 180MG CAPSULE SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013-01-01T00:00:00Z
CARTIA,XT 240MG CAPSULE SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013-01-01T00:00:00Z
CARTIA,XT 300MG CAPSULE SR 24 HR,3,Preferred Brand,20%,20%,Q:30/30Days,2013-01-01T00:00:00Z
CARVEDILOL,"12.5MG/1 100 FILM COATED TABLETS IN BOTTLE, PLASTIC",1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARVEDILOL,"25MG/1 100 FILM COATED TABLETS IN BOTTLE, PLASTIC",1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARVEDILOL,"3.125MG/1 100 FILM COATED TABLETS IN BOTTLE, PLASTIC",1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CARVEDILOL,"6.25MG/1 100 FILM COATED TABLETS IN BOTTLE, PLASTIC",1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CAYSTON,KIT,5,Specialty,25%,N/A,P Q:84/28Days,2013-01-01T00:00:00Z
CEENU,100MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEENU,10MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEENU,40MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFACLOR,CAPSULES,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFACLOR,CAPSULES,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFACLOR,ER 500MG TABLET SR 12HR,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFADROXIL,1G TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFADROXIL,500MG/1 100 CAPSULE IN 1 BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFADROXIL,500MG/5ML,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFADROXIL,FOR ORAL SUSPENSION 250MG/5ML 100ML BOT,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFAZOLIN,1 GM VIAL,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFAZOLIN,"10G/1 10 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION IN 1 PACKAGE",3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFAZOLIN,1GM/D5W BAG,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFAZOLIN,FOR INJECTION,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFDINIR,250MG/5ML SUSPENSION RECONSTITUTED ORAL,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFDINIR,CAPSULES 300MG (60 CT),3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFDINIR,FOR ORAL SUSPENSION 125MG/5ML (100 CT),3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFEPIME,HCL 2 GRAM VIAL,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFEPIME,INJ 1GM 20ML APX 10X1G VIAL,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOTAXIME,1G/1 25 INJECTION IN 1 PACKAGE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFOTAXIME,FOR INJECTION,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFOTAXIME,FOR INJECTION 2GM 25 VIAL,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFOTETAN,10 GM SOLR,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOTETAN,1GM VIAL 1EA X 10,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOTETAN,2GM VIAL 1EA X 10,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOXITIN,1G/1 10 POWDER IN 1 CARTON,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOXITIN,2G/1 10 POWDER IN 1 CARTON,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOXITIN,FOR INJECTION 1 GM/50ML,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOXITIN,FOR INJECTION 2MG/50ML 50 ML BOT,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFOXITIN,FOR INJECTION SOLUTION,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFPODOXIME,100 MG/5 ML SUSP,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFPODOXIME,200 MG TABLET,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFPODOXIME,50 MG/5 ML SUSP,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFPODOXIME,PROXETIL FILM COATED TABLET 100MG (20 CT),4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEFPROZIL,125 MG/5 ML SUSP,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFPROZIL,250 MG/5 ML SUSP,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFPROZIL,250MG/1 100 FILM COATED TABLETS IN BOTTLE,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFPROZIL,TABLETS 500MG 100 BOT,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFTAZIDIME,"1G/1 25 VIAL IN 1 CARTON / 1 INJECTION, POWDER, FOR SOLUTION IN 1 VIAL",2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFTAZIDIME,AND DEXTROSE 1G/50ML 24 CONTAINER IN 1 CASE / 50 ML IN 1 CONTAINER,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFTAZIDIME,AND DEXTROSE 2G/50ML 24 CONTAINER IN 1 CASE / 50 ML IN 1 CONTAINER,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFTAZIDIME,FOR INJECTION 2GM/VIAL 10 X 2 CRTN,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFTAZIDIME,FOR INJECTION 6GM/VIAL 6 X 6 CRTN,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFTRIAXONE,10GM VIAL,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFTRIAXONE,250 MG VIAL,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFTRIAXONE,FOR INJECTION,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFTRIAXONE,FOR INJECTION,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFTRIAXONE,SODIUM 500MG/1,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFUROXIME,AXETIL 250MG/1,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFUROXIME,AXETIL 500 MG TAB,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEFUROXIME,FOR INJECTION,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFUROXIME,FOR INJECTION,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CEFUROXIME,FOR INJECTION,3,Preferred Brand,20%,20%,None,2013-01-01T00:00:00Z
CELLCEPT,200MG/ML ORAL SUSP,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CELLCEPT,500MG TABLET,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CELLCEPT,CAPSULES 250MG (500 CT),4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
CELLCEPT,IV INJ 500MG,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
CELONTIN,300MG KAPSEAL,4,Non-Preferred Brand,35%,35%,None,2013-01-01T00:00:00Z
CEPHALEXIN,125MG/5ML 200 ML IN 1 BOTTLE,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEPHALEXIN,250MG CAPSULE,1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEPHALEXIN,250MG TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEPHALEXIN,250MG/5ML ORAL SUSP,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEPHALEXIN,500MG TABLET,2,Non-Preferred Generics,$3.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEPHALEXIN,CAPSULES 500MG (500 CT),1,Preferred Generics,$1.00 ,$0.00 ,None,2013-01-01T00:00:00Z
CEREZYME,INJ 200UNIT,5,Specialty,25%,N/A,P,2013-01-01T00:00:00Z
CERUBIDINE,20MG VIAL,4,Non-Preferred Brand,35%,35%,P,2013-01-01T00:00:00Z
CETIRIZINE,HCL 5MG/5ML,2,Non-Preferred Generics,$3.00 ,$0.00 ,Q:300/30Days,2013-01-01T00:00:00Z
CHANTIX,0.5MG TABLET,4,Non-Preferred Brand,35%,35%,Q:56/28Days,2013-01-01T00:00:00Z
