name,tier_num,tier_desc,cost_30,cost_90,management,year
BUMETANIDE 0.5MG TABLET USP (500 CT),1,Preferred Generics,$1.00,$0.00,None,2013
BUMETANIDE 1MG TABLET USP (500 CT),1,Preferred Generics,$1.00,$0.00,None,2013
BUMETANIDE 2MG TABLET USP (500 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
BUPHENYL 500MG TABLET,5,Specialty,25%,N/A,None,2013
BUPHENYL POWDER,5,Specialty,25%,N/A,None,2013
BUPRENORPHINE 0.3MG/ML SYRN,4,Non-Preferred Brand,35%,35%,P Q:240/30Days,2013
Buprenorphine HCl 2mg/1 30 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P Q:90/30Days,2013
Buprenorphine HCl 8mg/1 30 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P Q:90/30Days,2013
BUPROBAN ER TABLET,3,Preferred Brand,20%,20%,Q:90/30Days,2013
BUPROPION HCL 75MG TABLET,3,Preferred Brand,20%,20%,None,2013
BUPROPION HCL SR 100 MG TABLET,3,Preferred Brand,20%,20%,Q:120/30Days,2013
BUPROPION HCL SR 200MG TABLET SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013
BUPROPION HCL TABLET 100MG,3,Preferred Brand,20%,20%,Q:180/30Days,2013
BUPROPION HCL XL 150 MG TABLET,3,Preferred Brand,20%,20%,Q:90/30Days,2013
"Bupropion Hydrochloride 150mg/1 100 TABLET, EXTENDED RELEASE in 1 BOTTLE",3,Preferred Brand,20%,20%,Q:90/30Days,2013
"Bupropion Hydrochloride XL 300mg/1 500 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE",3,Preferred Brand,20%,20%,Q:90/30Days,2013
BUSPIRONE HCL 15MG TABLET (180 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
BUSPIRONE HCL 30MG TABLET (60 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
BUSPIRONE HCL 5 MG TABLET,1,Preferred Generics,$1.00,$0.00,None,2013
BUSPIRONE HCL 7.5MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
BUSPIRONE HYDROCHLORIDE TABLETS,1,Preferred Generics,$1.00,$0.00,None,2013
BUSULFEX 6mg/mL,4,Non-Preferred Brand,35%,35%,P,2013
Butisol Sodium 30mg/1 100 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P,2013
Butisol Sodium 30mg/5mL 473 mL in 1 BOTTLE,4,Non-Preferred Brand,35%,35%,P,2013
Butisol Sodium 50mg/1 100 TABLET BOTTLE,4,Non-Preferred Brand,35%,35%,P,2013
BUTORPHANOL 10MG/ML SPRAY,3,Preferred Brand,20%,20%,Q:5/28Days,2013
Butorphanol Tartrate 1mg/mL 10 VIAL in 1 BOX / 1 mL in 1 VIAL,3,Preferred Brand,20%,20%,Q:960/30Days,2013
Butorphanol Tartrate 2mg/mL 10 VIAL in 1 BOX / 2 mL in 1 VIAL,3,Preferred Brand,20%,20%,Q:480/30Days,2013
BYDUREON 2 MG VIAL,4,Non-Preferred Brand,35%,35%,S Q:4/28Days,2013
BYETTA 10ug/0.04mL,4,Non-Preferred Brand,35%,35%,S Q:3/30Days,2013
BYETTA 5MCG/0.02ML PEN INJ,4,Non-Preferred Brand,35%,35%,S Q:3/30Days,2013
CABERGOLINE 0.5 MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,Q:16/28Days,2013
Calcipotriene 50ug/g 60 g in 1 CARTON,3,Preferred Brand,20%,20%,None,2013
CALCIPOTRIENE TOPICAL SOLUTION,3,Preferred Brand,20%,20%,Q:60/30Days,2013
CALCITONIN SALMON NASAL SPRAY 200IU/SPRY,3,Preferred Brand,20%,20%,P Q:4/28Days,2013
CALCITRIOL 0.25MCG CAPSULE,3,Preferred Brand,20%,20%,P,2013
CALCITRIOL 0.5MCG CAPSULE,3,Preferred Brand,20%,20%,P,2013
CALCITRIOL 1MCG/ML SOLUTION ORAL,3,Preferred Brand,20%,20%,P,2013
CALCITRIOL INJ 1MCG/ML,3,Preferred Brand,20%,20%,P,2013
CALCIUM ACETATE CAPSULE 667 MG,3,Preferred Brand,20%,20%,None,2013
CAMILA 0.35MG TABLET,4,Non-Preferred Brand,35%,35%,None,2013
CAMPATH INJECTION 30 MG/ML,5,Specialty,25%,N/A,P Q:12/28Days,2013
"Campral 333mg/1 180 TABLET, DELAYED RELEASE in 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013
CANASA RECTAL SUPPOSITORIES 1000MG 30 BOX,3,Preferred Brand,20%,20%,Q:30/30Days,2013
CANCIDAS IV 50MG VIAL,5,Specialty,25%,N/A,P,2013
CANCIDAS IV 70MG VIAL,5,Specialty,25%,N/A,P,2013
"CAPASTAT SULFATE 1g/1 1 INJECTION, POWDER, FOR SOLUTION in 1 CARTON",4,Non-Preferred Brand,35%,35%,None,2013
CAPITAL W/CODEINE ORAL SUSP,4,Non-Preferred Brand,35%,35%,Q:5010/30Days,2013
"CAPRELSA 100mg/1 30 TABLET BOTTLE, PLASTIC",5,Specialty,25%,N/A,P Q:60/30Days,2013
"CAPRELSA 300mg/1 30 TABLET BOTTLE, PLASTIC",5,Specialty,25%,N/A,P Q:30/30Days,2013
CAPTOPRIL 100MG TABLET,1,Preferred Generics,$1.00,$0.00,None,2013
CAPTOPRIL 12.5MG TABLET,1,Preferred Generics,$1.00,$0.00,None,2013
CAPTOPRIL 25MG TABLET,1,Preferred Generics,$1.00,$0.00,None,2013
CAPTOPRIL 50MG TABLET,1,Preferred Generics,$1.00,$0.00,None,2013
Captopril and Hydrochlorothiazide 25; 15mg 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Captopril and Hydrochlorothiazide 25; 25mg 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Captopril and Hydrochlorothiazide 50; 15mg 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Captopril and Hydrochlorothiazide 50; 25mg 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CARAC CRE 0.5%,4,Non-Preferred Brand,35%,35%,None,2013
Carbaglu 200mg/1 5 TABLET BOTTLE,5,Specialty,25%,N/A,P,2013
CARBAMAZEPINE 100 MG/5 ML SUSP,2,Non-Preferred Generics,$3.00,$0.00,None,2013
"Carbamazepine 100mg, CHEWABLE 100 TABLET BOTTLE",2,Non-Preferred Generics,$3.00,$0.00,None,2013
"Carbamazepine 100mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013
"Carbamazepine 200mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013
"Carbamazepine 300mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013
CARBAMAZEPINE TABLET USP 200MG (1000 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
CARBAMAZEPINE XR 200 MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CARBAMAZEPINE XR 400 MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
"Carbatrol 100mg/1 120 CAPSULE, EXTENDED RELEASE in 1 BOTTLE",4,Non-Preferred Brand,35%,35%,None,2013
CARBATROL 200MG CAPSULE SA,4,Non-Preferred Brand,35%,35%,None,2013
CARBATROL 300MG CAPSULE SA,4,Non-Preferred Brand,35%,35%,None,2013
CARBIDOPA AND LEVEDOPA ORALLY DISINTEGRATING TABLETS 10;100MG;MG 100 BOT,3,Preferred Brand,20%,20%,None,2013
CARBIDOPA AND LEVODOPA ORALLY DISINTEGRATING TABLETS 25;100MG;MG 100 BOT,3,Preferred Brand,20%,20%,None,2013
CARBIDOPA AND LEVODOPA ORALLY DISINTEGRATING TABLETS 25;250MG;MG 100 BOT,3,Preferred Brand,20%,20%,None,2013
CARBIDOPA-LEVODOPA ER 25-100 TAB,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CARBIDOPA-LEVODOPA ER 50-200 TAB,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CARBIDOPA/LEVO 10/100 TABLET,3,Preferred Brand,20%,20%,None,2013
CARBIDOPA/LEVO 25/100 TABLET,3,Preferred Brand,20%,20%,None,2013
CARBIDOPA/LEVO 25/250 TABLET,3,Preferred Brand,20%,20%,None,2013
Carboplatin 10mg/mL,3,Preferred Brand,20%,20%,P,2013
CARIMUNE NF 3GM VIAL,5,Specialty,25%,N/A,P,2013
CARISOPRODOL AND ASPIRIN TABLETS USP 325;200MG;MG 100 BOTPL,3,Preferred Brand,20%,20%,P,2013
CARISOPRODOL ASPIRIN AND CODEINE PHOSPHATE TABLETS USP 325;200;16MG;MG;MG 100 BOTPL,3,Preferred Brand,20%,20%,P Q:360/30Days,2013
CARISOPRODOL TABLET USP 350MG (100 CT),2,Non-Preferred Generics,$3.00,$0.00,P,2013
CARNITOR 1GM/5ML VIAL,4,Non-Preferred Brand,35%,35%,P,2013
CARTEOLOL HCL OPHTHALMIC SOLUTION USP 1% 15ML BOT,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CARTIA XT 120MG CAPSULE SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013
CARTIA XT 180MG CAPSULE SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013
CARTIA XT 240MG CAPSULE SA,3,Preferred Brand,20%,20%,Q:60/30Days,2013
CARTIA XT 300MG CAPSULE SR 24 HR,3,Preferred Brand,20%,20%,Q:30/30Days,2013
"Carvedilol 12.5mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generics,$1.00,$0.00,None,2013
"Carvedilol 25mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generics,$1.00,$0.00,None,2013
"Carvedilol 3.125mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generics,$1.00,$0.00,None,2013
"Carvedilol 6.25mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generics,$1.00,$0.00,None,2013
CAYSTON KIT,5,Specialty,25%,N/A,P Q:84/28Days,2013
CEENU 100MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013
CEENU 10MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013
CEENU 40MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013
CEFACLOR CAPSULES,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFACLOR CAPSULES,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFACLOR ER 500MG TABLET SR 12HR,3,Preferred Brand,20%,20%,None,2013
CEFADROXIL 1G TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Cefadroxil 500mg/1 100 CAPSULE in 1 BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Cefadroxil 500mg/5mL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFADROXIL FOR ORAL SUSPENSION 250MG/5ML 100ML BOT,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFAZOLIN 1 GM VIAL,3,Preferred Brand,20%,20%,None,2013
"Cefazolin 10g/1 10 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 PACKAGE",3,Preferred Brand,20%,20%,None,2013
CEFAZOLIN 1GM/D5W BAG,3,Preferred Brand,20%,20%,None,2013
CEFAZOLIN FOR INJECTION,3,Preferred Brand,20%,20%,None,2013
CEFDINIR 250MG/5ML SUSPENSION RECONSTITUTED ORAL,3,Preferred Brand,20%,20%,None,2013
CEFDINIR CAPSULES 300MG (60 CT),3,Preferred Brand,20%,20%,None,2013
CEFDINIR FOR ORAL SUSPENSION 125MG/5ML (100 CT),3,Preferred Brand,20%,20%,None,2013
CEFEPIME HCL 2 GRAM VIAL,4,Non-Preferred Brand,35%,35%,None,2013
CEFEPIME INJ 1GM 20ML APX 10x1G VIAL,4,Non-Preferred Brand,35%,35%,None,2013
Cefotaxime 1g/1 25 INJECTION in 1 PACKAGE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFOTAXIME FOR INJECTION,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFOTAXIME FOR INJECTION 2GM 25 VIAL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFOTETAN 10 GM SOLR,4,Non-Preferred Brand,35%,35%,None,2013
CEFOTETAN 1GM VIAL 1EA x 10,4,Non-Preferred Brand,35%,35%,None,2013
CEFOTETAN 2GM VIAL 1EA x 10,4,Non-Preferred Brand,35%,35%,None,2013
Cefoxitin 1g/1 10 POWDER in 1 CARTON,4,Non-Preferred Brand,35%,35%,None,2013
Cefoxitin 2g/1 10 POWDER in 1 CARTON,4,Non-Preferred Brand,35%,35%,None,2013
CEFOXITIN FOR INJECTION 1 GM/50ML,4,Non-Preferred Brand,35%,35%,None,2013
CEFOXITIN FOR INJECTION 2MG/50ML 50 ML BOT,4,Non-Preferred Brand,35%,35%,None,2013
CEFOXITIN FOR INJECTION SOLUTION,4,Non-Preferred Brand,35%,35%,None,2013
CEFPODOXIME 100 MG/5 ML SUSP,4,Non-Preferred Brand,35%,35%,None,2013
CEFPODOXIME 200 MG TABLET,4,Non-Preferred Brand,35%,35%,None,2013
CEFPODOXIME 50 MG/5 ML SUSP,4,Non-Preferred Brand,35%,35%,None,2013
CEFPODOXIME PROXETIL FILM COATED TABLET 100MG (20 CT),4,Non-Preferred Brand,35%,35%,None,2013
cefprozil 125 mg/5 ml susp,3,Preferred Brand,20%,20%,None,2013
cefprozil 250 mg/5 ml susp,3,Preferred Brand,20%,20%,None,2013
Cefprozil 250mg/1 100 FILM COATED TABLETS in BOTTLE,3,Preferred Brand,20%,20%,None,2013
CEFPROZIL TABLETS 500MG 100 BOT,3,Preferred Brand,20%,20%,None,2013
"CEFTAZIDIME 1g/1 25 VIAL in 1 CARTON / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL",2,Non-Preferred Generics,$3.00,$0.00,None,2013
Ceftazidime and Dextrose 1g/50mL 24 CONTAINER in 1 CASE / 50 mL in 1 CONTAINER,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Ceftazidime and Dextrose 2g/50mL 24 CONTAINER in 1 CASE / 50 mL in 1 CONTAINER,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFTAZIDIME FOR INJECTION 2GM/VIAL 10 X 2 CRTN,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFTAZIDIME FOR INJECTION 6GM/VIAL 6 X 6 CRTN,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFTRIAXONE 10GM VIAL,3,Preferred Brand,20%,20%,None,2013
CEFTRIAXONE 250 MG VIAL,3,Preferred Brand,20%,20%,None,2013
CEFTRIAXONE FOR INJECTION,3,Preferred Brand,20%,20%,None,2013
CEFTRIAXONE FOR INJECTION,3,Preferred Brand,20%,20%,None,2013
Ceftriaxone Sodium 500mg/1,3,Preferred Brand,20%,20%,None,2013
cefuroxime axetil 250mg/1,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFUROXIME AXETIL 500 MG TAB,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEFUROXIME FOR INJECTION,3,Preferred Brand,20%,20%,None,2013
CEFUROXIME FOR INJECTION,3,Preferred Brand,20%,20%,None,2013
CEFUROXIME FOR INJECTION,3,Preferred Brand,20%,20%,None,2013
CELLCEPT 200MG/ML ORAL SUSP,5,Specialty,25%,N/A,P,2013
CELLCEPT 500MG TABLET,5,Specialty,25%,N/A,P,2013
CELLCEPT CAPSULES 250MG (500 CT),4,Non-Preferred Brand,35%,35%,P,2013
CELLCEPT IV INJ 500MG,4,Non-Preferred Brand,35%,35%,P,2013
CELONTIN 300MG KAPSEAL,4,Non-Preferred Brand,35%,35%,None,2013
Cephalexin 125mg/5mL 200 mL in 1 BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEPHALEXIN 250MG CAPSULE,1,Preferred Generics,$1.00,$0.00,None,2013
CEPHALEXIN 250MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEPHALEXIN 250MG/5ML ORAL SUSP,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEPHALEXIN 500MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CEPHALEXIN CAPSULES 500MG (500 CT),1,Preferred Generics,$1.00,$0.00,None,2013
CEREZYME INJ 200UNIT,5,Specialty,25%,N/A,P,2013
CERUBIDINE 20MG VIAL,4,Non-Preferred Brand,35%,35%,P,2013
CETIRIZINE HCL 5MG/5ML,2,Non-Preferred Generics,$3.00,$0.00,Q:300/30Days,2013
CHANTIX 0.5MG TABLET,4,Non-Preferred Brand,35%,35%,Q:56/28Days,2013
CHANTIX 1 KIT in 1 CARTON,4,Non-Preferred Brand,35%,35%,Q:56/28Days,2013
CHANTIX 1MG TABLET,4,Non-Preferred Brand,35%,35%,Q:56/28Days,2013
CHEMET 100MG CAPSULE,4,Non-Preferred Brand,35%,35%,None,2013
"Chenodal 250mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",4,Non-Preferred Brand,35%,35%,None,2013
CHLORAMPHEN NA SUCC 1GM VL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLORHEXIDINE GLUCONATE 0.12% MOUTHWASH,1,Preferred Generics,$1.00,$0.00,None,2013
CHLOROQUINE PH 500MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLOROQUINE PHOSPHATE 250MG TABLET (50 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLOROTHIAZIDE 250MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLOROTHIAZIDE 500MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLOROTHIAZIDE SODIUM FOR INJECTION 500MG/VIAL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLORPROMAZINE 10MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,P,2013
CHLORPROMAZINE 25MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,P,2013
CHLORPROMAZINE 25MG/ML AMP,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLORPROMAZINE 50 MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLORPROMAZINE HCL 200MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Chlorpromazine Hydrochloride 100mg SUGAR COATED 1000 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLORTHALIDONE 25MG TABLET (100 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHLORTHALIDONE 50MG TABLET (1000 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
CHOLESTYRAMINE LIGHT POWDER FOR ORAL SUSPENSION,3,Preferred Brand,20%,20%,None,2013
CHORIONIC GONAD 10000U VIAL,4,Non-Preferred Brand,35%,35%,None,2013
Ciclopirox 1mL/100mL 1 BOTTLE in 1 CARTON / 120 mL in 1 BOTTLE,3,Preferred Brand,20%,20%,None,2013
Ciclopirox 7.7mg/mL 60 mL in 1 BOTTLE,3,Preferred Brand,20%,20%,None,2013
CICLOPIROX 8% TOPICAL SOLUTION NAIL LACQUER 6.6ML BOT,3,Preferred Brand,20%,20%,None,2013
CICLOPIROX GEL,3,Preferred Brand,20%,20%,None,2013
Ciclopirox Olamine 7.7mg/g 1 TUBE in 1 TUBE / 15 g in 1 TUBE,3,Preferred Brand,20%,20%,None,2013
Cilostazol 50mg/1 60 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CILOSTAZOL TABLET 100MG (60 CT),2,Non-Preferred Generics,$3.00,$0.00,None,2013
CIMETIDINE 150MG/ML VIAL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
"Cimetidine 200mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",2,Non-Preferred Generics,$3.00,$0.00,None,2013
Cimetidine 400mg/1 100 FILM COATED TABLETS in BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
"Cimetidine 800mg/1 100 FILM COATED TABLETS in BOTTLE, PLASTIC",1,Preferred Generics,$1.00,$0.00,None,2013
Cimetidine Hydrochloride Oral Solution 300mg/5mL 237 mL in 1 BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CIMETIDINE TABLETS,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Cimzia 2 KIT in 1 CARTON / 1 KIT in 1 KIT,5,Specialty,25%,N/A,P Q:6/30Days,2013
CIMZIA 200 MG/ML SYRINGE KIT,5,Specialty,25%,N/A,P Q:6/30Days,2013
CIPROFLOXACIN 0.3% EYE DROP,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CIPROFLOXACIN 250MG TABLET (100 CT),1,Preferred Generics,$1.00,$0.00,None,2013
Ciprofloxacin 400mg/40mL 1 VIAL in 1 CARTON / 40 mL in 1 VIAL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CIPROFLOXACIN 500MG TABLET,1,Preferred Generics,$1.00,$0.00,None,2013
Ciprofloxacin and Dextrose 2mg/mL 24 BAG in 1 CASE / 100 mL in 1 BAG,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CIPROFLOXACIN HCL 100MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CIPROFLOXACIN TABLETS 750MG 100 BOT,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Cisplatin 100mg/100mL 1 VIAL in 1 CARTON / 100 mL in 1 VIAL,3,Preferred Brand,20%,20%,P,2013
CITALOPRAM HBR 20 MG TABLET,1,Preferred Generics,$1.00,$0.00,Q:60/30Days,2013
CITALOPRAM HBR ORAL SOLUTION 10MG 240ML BOTPL,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CITALOPRAM HYDROBROMIDE TABLETS 40MG 30 BOT,1,Preferred Generics,$1.00,$0.00,Q:30/30Days,2013
CITOLOPRAM HBR 10MG TABLET (100 CT),2,Non-Preferred Generics,$3.00,$0.00,Q:30/30Days,2013
CLADRIBINE 1MG/ML VIAL,2,Non-Preferred Generics,$3.00,$0.00,P,2013
CLARITHROMYCIN 250MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLARITHROMYCIN 500MG TABLET,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLARITHROMYCIN ER 500MG TABLET (60 CT),3,Preferred Brand,20%,20%,None,2013
CLARITHROMYCIN FOR ORAL SUSPENSION,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLARITHROMYCIN FOR ORAL SUSPENSION,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLEOCIN 300MG/D5W/GALAXY,4,Non-Preferred Brand,35%,35%,None,2013
CLEOCIN 600MG/D5W/GALAXY,4,Non-Preferred Brand,35%,35%,None,2013
CLEOCIN 900MG/D5W/GALAXY,4,Non-Preferred Brand,35%,35%,None,2013
CLINDAMYCIN 150MG/ML ADDVAN,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLINDAMYCIN HCL 150MG CAPSULE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Clindamycin Hydrochloride 75mg/1 200 CAPSULE in 1 BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLINDAMYCIN HYDROCHLORIDE CAPSULES,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLINDAMYCIN PHOSP 1% LOTION,2,Non-Preferred Generics,$3.00,$0.00,None,2013
clindamycin phosphate 10mg/mL 1 BOTTLE in 1 CARTON / 60 mL in 1 BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Clindamycin Phosphate and Benzoyl Peroxide 1 KIT,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLINDAMYCIN PHOSPHATE GEL 1% 30GRAM TUBE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLINDAMYCIN PHOSPHATE TOPICAL SOLUTION USP PLEDGETS 1% 60 BOX,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLINDAMYCIN PHOSPHATE VAGINAL CREAM,2,Non-Preferred Generics,$3.00,$0.00,None,2013
clindamycin-d5w 300 mg/50 ml,4,Non-Preferred Brand,35%,35%,None,2013
clindamycin-d5w 600 mg/50 ml,4,Non-Preferred Brand,35%,35%,None,2013
clindamycin-d5w 900 mg/50 ml,4,Non-Preferred Brand,35%,35%,None,2013
CLINIMIX 2.75%/5% INJECTION 1000ML BAG,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 4.25/10 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 4.25/20 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 4.25/25 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 4.25/5 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 5/15 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 5/20 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX 5/25 SULFITE FREE INJECTIONS 1035MG-420MEQ 1000ML BAG,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 2.75/10 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 2.75/5 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 4.25/25 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 4.25/5 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 5/20 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 5/25 SOLUTION,4,Non-Preferred Brand,35%,35%,P,2013
CLINIMIX E 5%/15% INJECTION 2000ML BAG,4,Non-Preferred Brand,35%,35%,P,2013
CLOBETASOL 0.05% OINTMENT,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLOBETASOL E 0.05% CREAM,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Clobetasol Propionate 0.4625mg/mL 1 BOTTLE in 1 CARTON / 50 mL in 1 BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
Clobetasol Propionate 0.5mg/g 1 CAN in 1 CARTON / 100 g in 1 CAN,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLOBETASOL PROPIONATE GEL .05% 60 GM TUBE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
CLOLAR 1MG/ML VIAL,5,Specialty,25%,N/A,P,2013
CLOMIPRAMINE HCL 25MG CAPSULE,2,Non-Preferred Generics,$3.00,$0.00,P,2013
CLOMIPRAMINE HCL 50MG CAPSULE,2,Non-Preferred Generics,$3.00,$0.00,P,2013
CLOMIPRAMINE HCL 75MG CAPSULE,2,Non-Preferred Generics,$3.00,$0.00,P,2013
"Clonazepam 0.125mg/1 10 BLISTER PACK in 1 CARTON / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PAC",4,Non-Preferred Brand,35%,35%,None,2013
"Clonazepam 0.25mg/1 10 BLISTER PACK in 1 CARTON / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK",4,Non-Preferred Brand,35%,35%,None,2013
"Clonazepam 0.5mg/1 10 BLISTER PACK in 1 CARTON / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK",4,Non-Preferred Brand,35%,35%,None,2013
Clonazepam 0.5mg/1 100 TABLET BOTTLE,2,Non-Preferred Generics,$3.00,$0.00,None,2013
"Clonazepam 1mg/1 10 BLISTER PACK in 1 CARTON / 6 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK",4,Non-Preferred Brand,35%,35%,None,2013
